Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
-279738736;-279738736;En ligne;0004;C4;0;Grand Quartier;48.114059, -1.639289;736
1983354720;1983354720;En ligne;0034;34;1;ZA Saint-Sulpice;48.110927, -1.608636;-773
632791104;632791104;En ligne;0011;11;0;ZI Ouest;48.103508, -1.651525;53
450285136;450285136;En ligne;0004;C4;0;Grand Quartier;48.128711, -1.69764;40
-2129106608;-2129106608;En ligne;0032;32;0;Alma Sud;48.134466, -1.673051;-63
1362814976;1362814976;En ligne;0004;C4;0;Grand Quartier;48.109932, -1.678889;405
1545320944;1545320944;En ligne;0006;C6;1;Cesson-Sévigné;48.109858, -1.678721;1006
-1946600640;-1946600640;En ligne;0010;10;1;Beaulieu Chimie;48.116397, -1.672717;985
-1119246736;-1119246736;En ligne;0012;12;0;La Poterie;48.09771, -1.669544;59
1727826912;1727826912;En ligne;0001;C1;1;Saint-Grégoire;48.109864, -1.678102;-35
-1399082736;-1399082736;En ligne;0010;10;1;Beaulieu Chimie;48.104235, -1.713471;0
-754234800;-754234800;Hors-service;;;;;48.109199, -1.641393;
1910332880;1910332880;En ligne;0002;C2;1;Cesson-Viasilva;48.104917, -1.677382;-146
60965008;60965008;En ligne;0010;10;1;Beaulieu Chimie;48.105014, -1.694214;848
888318912;888318912;Hors-service;;;;;48.110401, -1.64131;
-936740768;-936740768;En ligne;0012;12;0;La Poterie;48.115886, -1.674234;-28
425976944;425976944;Hors-service;;;;;48.115599, -1.578272;
-1216576768;-1216576768;En ligne;0012;12;1;Villejean-U;48.137566, -1.687371;634
523306976;523306976;Hors-service;;;;;48.10912, -1.641547;
608482912;608482912;En ligne;0014;14;0;Roazhon Park;48.121752, -1.703954;109
-1958754736;-1958754736;Hors-service;;;;;48.110876, -1.644111;
1070824880;1070824880;Hors-service;;;;;48.10912, -1.64179;
790988880;790988880;En ligne;0014;14;0;Roazhon Park;48.136978, -1.686296;114
-1983062928;-1983062928;En ligne;0011;11;1;La Poterie;48.10978, -1.679535;1601
-1764094672;-1764094672;En ligne;0012;12;1;Villejean-U;48.1248, -1.710016;943
1058670784;1058670784;En ligne;0011;11;0;ZI Ouest;48.10451, -1.736067;1349
-1435545024;-1435545024;En ligne;0012;12;1;Villejean-U;48.087352, -1.642676;0
-1581588704;-1581588704;Hors-service;;;;;48.108717, -1.641956;
1241176752;1241176752;Hors-service;;;;;48.110401, -1.642912;
-523015184;-523015184;En ligne;0050;50;1;Thorigné;48.154015, -1.580339;251
-1034070800;-1034070800;En ligne;0012;12;1;Villejean-U;48.092439, -1.646944;59
1971200624;1971200624;En ligne;0064;64;0;Cesson-Viasilva;48.127461, -1.626491;-59
-340509216;-340509216;En ligne;0034;34;1;ZA Saint-Sulpice;48.13215, -1.634927;-114
-121540960;-121540960;En ligne;0032;32;1;Saint-Grégoire;48.15198, -1.685998;192
2129398400;2129398400;En ligne;0153;153ex;0;La Chapelle-Th.;48.109998, -1.685167;80
-912335312;-912335312;Hors-service;;;;;48.108719, -1.640987;
243470976;243470976;En ligne;0010;10;1;Beaulieu Chimie;48.097651, -1.706801;501
-1800556960;-1800556960;Hors-service;;;;;48.110716, -1.642912;
-729829344;-729829344;En ligne;0053;53;1;Rennes;48.122599, -1.868362;0
973494848;973494848;En ligne;0034;34;0;Cesson Monniais;48.132271, -1.619695;51
-705521152;-705521152;En ligne;0012;12;0;La Poterie;48.134244, -1.700395;386
194528;194528;Hors-service;;;;;48.110637, -1.64195;
1606188688;1606188688;Haut-le-pied;0164;164ex;0;Dépôt;48.136996, -1.527437;
-158003248;-158003248;Hors-service;;;;;48.110638, -1.644427;
365206464;365206464;En ligne;0002;C2;0;Haut Sancé;48.119372, -1.667259;0
1788694656;1788694656;Haut-le-pied;0164;164ex;0;Dépôt;48.122687, -1.630529;
24502720;24502720;Hors-service;;;;;48.063757, -1.700906;
547712432;547712432;Hors-service;;;;;48.110555, -1.644029;
-2141260704;-2141260704;En ligne;0013;13;0;Porte de Ker Lann;48.085561, -1.675614;536
389514656;389514656;En ligne;0159;159ex;0;Bruz;48.023531, -1.7445;-28
1642748240;1642748240;En ligne;0005;C5;1;Saint-Laurent;48.134693, -1.659133;51
-1253039056;-1253039056;En ligne;0064;64;0;Cesson-Viasilva;48.139746, -1.532117;6
-182311440;-182311440;En ligne;0034;34;0;Chantepie;48.127991, -1.613895;515
-1557183248;-1557183248;En ligne;0003;C3;1;Patton;48.09736, -1.675178;1310
-1070533088;-1070533088;Hors-service;;;;;48.110319, -1.641787;
