Geo Point;Geo Shape;gml_id;id_rva_fcd_avt_20230328;denomination;sens_circul;freeflowtime;type;id_troncon;length;thresholds
48.09798999999955, -1.6554449999978276;"{""coordinates"": [[[-1.655249999993919, 48.09787999999847], [-1.655640000001737, 48.09810000000063]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1254;1254;Rue de Vern;Dans les 2 sens;3;Rue;45503_G;37.9767349929489;20_40
48.097762647186684, -1.6550413557267727;"{""coordinates"": [[[-1.654829999994064, 48.097649999998254], [-1.655169999995922, 48.09783000000215], [-1.655249999993919, 48.09787999999847]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1256;1256;Rue de Vern;Dans les 2 sens;3;Rue;45504_G;40.4284091576859;20_40
48.098378779215984, -1.6549295241480522;"{""coordinates"": [[[-1.654219999999613, 48.098660000002866], [-1.655000000004287, 48.098350000001496], [-1.655230000003449, 48.09825999999542], [-1.655559999995803, 48.098130000004375], [-1.655640000001737, 48.09810000000063]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1272;1272;Boulevard Léon Bourgeois;Dans les 2 sens;9;Boulevard;45568_G;122.736741708511;20_40
48.10126946246385, -1.6496726120473948;"{""coordinates"": [[[-1.649500000005039, 48.10218999999764], [-1.649560000005587, 48.101869999997696], [-1.649589999994775, 48.10167000000428], [-1.64963000000115, 48.10143999999863], [-1.649669999999167, 48.10124000000208], [-1.649700000001543, 48.10107999999683], [-1.649719999995643, 48.10097000000057], [-1.649760000004638, 48.10071999999804], [-1.649819999995536, 48.10055000000269], [-1.649930000005339, 48.10037999999618]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1275;1275;Boulevard Villebois-Mareuil;Dans les 2 sens;15;Boulevard;45601_D;204.630617852294;20_40
48.10126946246383, -1.6496726120473946;"{""coordinates"": [[[-1.649930000005339, 48.10037999999618], [-1.649819999995536, 48.10055000000269], [-1.649760000004638, 48.10071999999804], [-1.649719999995643, 48.10097000000057], [-1.649700000001543, 48.10107999999683], [-1.649669999999167, 48.10124000000208], [-1.64963000000115, 48.10143999999863], [-1.649589999994775, 48.10167000000428], [-1.649560000005587, 48.101869999997696], [-1.649500000005039, 48.10218999999764]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1276;1276;Boulevard Villebois-Mareuil;Dans les 2 sens;15;Boulevard;45601_G;204.630617852294;20_40
48.10148418417344, -1.654546046444918;"{""coordinates"": [[[-1.653920000004253, 48.10137999999679], [-1.65467000000016, 48.10150000000248], [-1.655170000000326, 48.10159999999553]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1278;1278;Rue de Châteaugiron;Dans les 2 sens;7;Rue;45612_G;96.2947161599297;20_40
48.09692464571675, -1.712528696415557;"{""coordinates"": [[[-1.710520882429852, 48.0947921704486], [-1.710630000001224, 48.09488999999605], [-1.711200000003809, 48.095420000003784], [-1.711569999996636, 48.0957800000018], [-1.711830000001983, 48.09606999999603], [-1.71226, 48.096529999998154], [-1.712749999995427, 48.097079999999444], [-1.713369999993543, 48.09784999999949], [-1.713660000002378, 48.09823000000201], [-1.713899999995196, 48.09856000000144], [-1.714189999993381, 48.098999999996366], [-1.714309999999124, 48.099169999996235], [-1.714341965701075, 48.09922409579766]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1290;1290;Route nationale 136;Dans le sens de numérisation;29;Route nationale;45642;570.402508247914;30_50
48.102835000002, -1.7140999999991111;"{""coordinates"": [[[-1.714369999996277, 48.10272000000394], [-1.713830000001945, 48.10295]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1291;1291;Rue Jules Vallès;Dans le sens inverse de numérisation;3;Rue;45651;47.6601720668828;20_40
48.105544999997676, -1.6844399999996664;"{""coordinates"": [[[-1.684440000001768, 48.10546999999834], [-1.684439999997565, 48.105619999997]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1293;1293;Boulevard de La Tour d'Auvergne;Dans le sens inverse de numérisation;1;Boulevard;45820;16.6788562973124;20_40
48.10419494212389, -1.684355673063134;"{""coordinates"": [[[-1.684330000006664, 48.103900000003826], [-1.684350000001169, 48.10412000000128], [-1.684380000000306, 48.10449000000082]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1294;1294;Boulevard de La Tour d'Auvergne;Dans le sens inverse de numérisation;5;Boulevard;45821;65.7094144044283;20_40
48.10379186521379, -1.6843288825556424;"{""coordinates"": [[[-1.684359999998979, 48.103689999998444], [-1.684320000004558, 48.10375999999597], [-1.68431999999454, 48.103830000004685], [-1.684330000006664, 48.103900000003826]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1295;1295;Boulevard de La Tour d'Auvergne;Dans le sens inverse de numérisation;2;Boulevard;45822;23.9365580742827;20_40
48.10433539264884, -1.6936660208138536;"{""coordinates"": [[[-1.693349999998432, 48.10512000000272], [-1.693450000001474, 48.104869999999046], [-1.693529999997232, 48.10467999999961], [-1.693769999994271, 48.10406999999627], [-1.69387999999929, 48.10381000000413], [-1.693980000005302, 48.103550000003516]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1296;1296;Rue Claude Bernard;Dans les 2 sens;22;Rue;45849_D;180.774109540517;20_40
48.104335392648856, -1.6936660208138543;"{""coordinates"": [[[-1.693980000005302, 48.103550000003516], [-1.69387999999929, 48.10381000000413], [-1.693769999994271, 48.10406999999627], [-1.693529999997232, 48.10467999999961], [-1.693450000001474, 48.104869999999046], [-1.693349999998432, 48.10512000000272]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1297;1297;Rue Claude Bernard;Dans les 2 sens;22;Rue;45849_G;180.774109540517;20_40
48.09743964667343, -1.6936303707959723;"{""coordinates"": [[[-1.693260000000982, 48.09705000000031], [-1.693750000005864, 48.09757000000178], [-1.693890000006032, 48.097709999998166], [-1.694010000002652, 48.09781999999972]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1300;1300;Boulevard Pierre Mendès-France;Dans les 2 sens;7;Boulevard;45865_D;102.261358424513;20_40
48.097439646673415, -1.693630370795972;"{""coordinates"": [[[-1.694010000002652, 48.09781999999972], [-1.693890000006032, 48.097709999998166], [-1.693750000005864, 48.09757000000178], [-1.693260000000982, 48.09705000000031]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1301;1301;Boulevard Pierre Mendès-France;Dans les 2 sens;7;Boulevard;45865_G;102.261358424513;20_40
