Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0224;2002-01-01;;Oui;224;Saint-Grégoire (Jean-Paul II) <> Montgermont <> La Chapelle-des-Fougeretz <> Gévezé (Cheval Blanc);Complémentaire;0224-A-2841-4074;0224-B-4073-2841;224;#009fe3;#ffffff;Grand public;
0226;2002-01-01;;Oui;226;Gévezé (Cheval Blanc) <> La Chapelle-des-Fougeretz <> Montgermont <> Pacé (Centre scolaire Pacé);Complémentaire;0226-A-4507-3162;0226-B-3162-4507;226;#4465ad;#ffffff;Grand public;
0233;2016-09-01;;Oui;233;Bourgbarré (Centre de Loisirs) <> Orgères <> Saint-Erblon (Collège Saint-Paul);Complémentaire;0233-A-3801-4381-3246;0233-B-4381-3801-3246;233;#4465ad;#ffffff;Grand public;
0240;2002-01-01;;Oui;240;Saint-Gilles (Ile des Bois) <> L'Hermitage <> Le Rheu (Lycée Monod);Complémentaire;0240-A-3732-2502-3708;0240-B-2534-3732-3708;240;#005bab;#ffffff;Grand public;
0401;2023-09-04;;Oui;Ts1;Noyal-Châtillon-sur-Seiche (Launay Hyon) <> Chartres-de-Bretagne <> Bruz (Aire du 8 Mai);Transport scolaire;0401-A-2764-2366;0401-B-2366-2763;9999;#702283;#ffffff;Grand public;
0403;2021-09-02;;Oui;Ts3;Saint-Erblon (Douazel) <> Noyal-Châtillon-sur-Seiche <> Bruz (Aire du 8 Mai);Transport scolaire;0403-A-4364-2366;0403-B-2366-4367;9999;#5dc4e1;#ffffff;Grand public;
0404;2016-09-01;;Oui;Ts4;Bourgbarré (La Fretais) <> Orgères <> Bruz (Anita Conti);Transport scolaire;0404-A-3822-2367;0404-B-2367-3823;9999;#76b729;#ffffff;Grand public;
0413;2017-09-04;2025-08-31;Oui;Ts13;Chartres-de-Bretagne (Vieux Bourg) <> Bruz (Aire du 8 Mai);Transport scolaire;0413-A-2922-2366;0413-B-2366-2914;9999;#009881;#ffffff;Grand public;
0437;2024-09-16;;Oui;Ts37;La Chapelle-Thouarault (Ville aux Archers) <> Mordelles (Morvan Lebesque);Transport scolaire;0437-A-4267-3880;0437-B-3881-4270;9999;#4465ad;#ffffff;Grand public;
0438;2021-09-02;;Oui;Ts38;Cintré (Belle Arrivée) <> Mordelles (Morvan Lebesque);Transport scolaire;0438-A-4666-3880;0438-B-3880-4657;9999;#702283;#ffffff;Grand public;
0443;2002-01-01;;Oui;Ts43;Pacé (Centre scolaire Pacé) <> Saint-Gilles (Etang de la Motte);Transport scolaire;0443-A-3162-3737;0443-B-3701-3162;9999;#fecc00;#1a171b;Grand public;
0444;2002-01-01;;Oui;Ts44;Gévezé (Cheval Blanc) <> Pacé (Centre scolaire Pacé);Transport scolaire;0444-A-4507-3162;0444-B-3162-4531;9999;#96c11f;#ffffff;Grand public;
0446;2002-01-01;;Oui;Ts46;Pacé (Bas Sommier) <> Vezin-le-Coquet <> Pacé (Centre scolaire Pacé);Transport scolaire;0446-A-3162-3164;0446-B-3148-3162;9999;#009fe3;#ffffff;Grand public;
0461;2022-09-01;;Oui;Ts61;Cesson-Sévigné (Lycée Ozanam) <> Cesson-Sévigné (Prieuré Forge);Transport scolaire;0461-A-2052-2119-2055;0461-B-2120-2052;9999;#e30613;#ffffff;Grand public;
0475;2017-09-04;;Oui;Ts75;La Chapelle-Chaussée (Chapelle-Chaussée) <> Gevezé <> Saint-Grégoire (Jean-Paul II);Transport scolaire;0475-A-4850-2841;0475-B-2834-4851;9999;#ba67a6;#ffffff;Grand public;
0802;2022-10-24;;Oui;b relais;Cesson-Sévigné (Cesson - Viasilva) <> Saint-Jacques-de-la-Lande (Saint-Jacques - Gaîté);Spéciale;0802-A-2131-2280-1555;0802-B-2280-2131-1705;249;#ffff00;#1a171b;Grand public;
0806;2022-10-24;;Oui;E4;Bus de Stade : Rennes (Roazhon Park) <> Communes;Evènementiel;;;196;#000000;#ffffff;Grand public;
0810;2022-09-20;;Oui;E1;Rennes (Charles de Gaulle - République) <> Saint-Jacques-de-la Lande (Parc Expo) via  Saint-Jacques-de-la Lande (Saint-Jacques - Gaîté);Evènementiel;;;97;#000000;#ffffff;Grand public;
0815;2002-01-01;;Oui;E3;Sortez en Bus : Rennes (TNB) < > Communes;Evènementiel;;;;#000000;#ffffff;Grand public;
0820;2025-01-01;;Oui;E10;Glaz Arena : Cesson-Sévigné (Rigourdière) <> Rennes (République);Evènementiel;;;;#000000;#ffffff;Grand public;
