Identifiant;Numéro de parc;Immatriculation;Marque;Modèle;Version;Dénomination commerciale;Type;Propriété de Rennes Métropole;Longueur;Places assises;Places debout;Places totales;Mise en circulation;Equipé avec le SAEIV;Ecrans;Autonomie;Places UFR;Girouettes (type);Girouettes (nombres);Caméras;Valideurs;Norme Euro;Antipollution;Pneus (type);Pneus (dimension);Boîte de vitesses;Moteur;Pont;Vitrerie;Portes (nombre);Portes (type avant);Portes (type milieu et arrière);Dépôt (code);Transporteur (code)
359;359;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-05-24;true;4;;2;;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
365;365;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-05-24;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
366;366;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-05-24;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
368;368;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-07-05;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
373;373;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2025-01-16;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
383;383;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2025-03-07;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
384;384;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2025-04-18;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
4006;4006;;MAN;Lions City;;Lions City;;false;0;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;TIV
4007;4007;;MAN;Lions City;;Lions City;;false;0;0;0;0;;true;2;;1;Leds;3;3;3;EURO 6;;;;;;;;2;;;CHANTEPI;TIV
4023;4023;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;0;0;0;1998-10-02;true;2;;1;Pastilles;3;3;3;;;;;;;;;2;;;CHANTEPI;TIV
4025;4025;;MAN;Lions City;B.2018.858.00312C18BZZZZAX6AAH8BBJ;Lions City;;false;0;29;85;114;2022-11-04;true;2;;1;Leds;3;3;3;EURO 6;;;;;;;;3;;;CHANTEPI;TIV
4037;4037;;IVECO;URBANWAY;PSECGTBUJ;URBANWAY;;false;0;0;0;0;2024-12-27;true;2;;2;Leds;3;3;3;;;;;;;;;3;;;CHANTEPI;TIV
4038;4038;;IVECO;URBANWAY;PSECGTBUJ;URBANWAY;;false;0;0;0;0;2024-12-27;true;2;;2;Leds;3;3;3;;;;;;;;;3;;;CHANTEPI;TIV
443;443;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2023-11-07;true;2;;2;;3;3;3;NC;;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
4506;4506;;IRISBUS;RECREO;;RECREO;;false;0;0;0;0;;false;0;;0;;0;0;1;;;;;;;;;2;;;CHANTEPI;TIV
4514;4514;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHANTEPI;TIV
4518;4518;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;TIV
454;454;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2023-11-28;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
