Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:32:35+0200;2025-06-19T18:32:47+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:24:00+0200;2025-06-19T18:24:18+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:28:45+0200;2025-06-19T20:29:03+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:45:31+0200;2025-06-19T18:45:43+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:29:25+0200;2025-06-19T18:29:43+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:37:47+0200;2025-06-19T20:38:05+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:53:58+0200;2025-06-19T18:54:10+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:38:26+0200;2025-06-19T18:38:44+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 17:59:15+0200;2025-06-19T17:59:27+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:59:36+0200;2025-06-19T18:59:48+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:06:33+0200;2025-06-19T19:06:51+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:06:15+0200;2025-06-19T18:06:27+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:02:25+0200;2025-06-19T19:02:37+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:12:11+0200;2025-06-19T19:12:29+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:08:00+0200;2025-06-19T18:08:12+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:08:03+0200;2025-06-19T19:08:15+02:00;Applicable;
