annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Octobre;2024-10-15;Mardi;42;90;90;Intercommunale;Régulières Métropolitaines;97.64706
2024;Août;2024-08-28;Mercredi;35;67;67;Métropolitaine;Régulières Métropolitaines;1123.52941
2024;Juillet;2024-07-20;Samedi;29;62;62;Métropolitaine;Régulières Métropolitaines;629.41176
2024;Octobre;2024-10-15;Mardi;42;155;155ex;Express;Régulières Métropolitaines;404.70588
2024;Août;2024-08-28;Mercredi;35;72;72;Métropolitaine;Régulières Métropolitaines;1790.58824
2024;Juillet;2024-07-20;Samedi;29;67;67;Métropolitaine;Régulières Métropolitaines;680.0
2024;Octobre;2024-10-15;Mardi;42;173;173ex;Express;Régulières Métropolitaines;225.88235
2024;Août;2024-08-28;Mercredi;35;73;73;Métropolitaine;Régulières Métropolitaines;647.05882
2024;Juillet;2024-07-20;Samedi;29;68;68;Métropolitaine;Régulières Métropolitaines;434.11765
2024;Octobre;2024-10-15;Mardi;42;9999;9999;Non identifié;Non identifiée;6996.47059
2024;Août;2024-08-28;Mercredi;35;77;77;Métropolitaine;Régulières Métropolitaines;1747.05882
2024;Juillet;2024-07-20;Samedi;29;72;72;Métropolitaine;Régulières Métropolitaines;937.64706
2024;Octobre;2024-10-16;Mercredi;42;2;C2;CHRONOSTAR;CHRONOSTAR;11742.35294
2024;Août;2024-08-28;Mercredi;35;81;81;Métropolitaine;Régulières Métropolitaines;418.82353
2024;Juillet;2024-07-20;Samedi;29;81;81;Métropolitaine;Régulières Métropolitaines;156.47059
2024;Octobre;2024-10-16;Mercredi;42;3;C3;CHRONOSTAR;CHRONOSTAR;11428.23529
2024;Août;2024-08-28;Mercredi;35;82;82;Métropolitaine;Régulières Métropolitaines;205.88235
2024;Juillet;2024-07-20;Samedi;29;82;82;Métropolitaine;Régulières Métropolitaines;102.35294
2024;Octobre;2024-10-16;Mercredi;42;11;11;Urbaine;Régulières Urbaines;10016.47059
2024;Août;2024-08-28;Mercredi;35;804;TTZ;Spéciale;Régulières Métropolitaines;30.58824
2024;Juillet;2024-07-20;Samedi;29;1001;a;Métro;METRO;68185.69379
