Equipement (ID);Nom;Station (ID);Station (nom);Coordonnées;Etat;Dernière mise à jour;Identifiant de la Ligne de métro (linéo);type;typecourt
ASC_MAB_2;Quai vers Gaîté <-> Salle des billets;15061;Mabilais;48.1050592898409, -1.6926513768705;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_IJC_1;Quai vers Viasilva <-> Extérieur;15053;Joliot-Curie - Chateaubriand;48.1241132803473, -1.65150172798943;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_ITA_2;Quai vers La Poterie <-> Extérieur;15012;Italie;48.0865643803559, -1.66790001859795;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_MAB_3;Salle des billets <-> Extérieur;15061;Mabilais;48.1050592898409, -1.6926513768705;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_IJC_2;Quai vers Gaîté <-> Extérieur;15053;Joliot-Curie - Chateaubriand;48.1241132803473, -1.65150172798943;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_JCA_4;Quai vers La Poterie <-> Salle des billets;15009;Jacques Cartier;48.0975427301243, -1.67545156363566;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_REP_2;Quai vers La Poterie <-> Extérieur;15006;République;48.1097592170185, -1.67918191615921;Indisponible;2025-06-18T12:24:20+02:00;1001;Ascenseur;ASC
ASC_JCA_1;Quai vers Kennedy <-> Salle des billets;15009;Jacques Cartier;48.0975427301243, -1.67545156363566;En fonctionnement;2025-06-19T09:28:20+02:00;1001;Ascenseur;ASC
ASC_LCO_1;Quai vers Viasilva <-> Salle des billets (extérieur);15063;La Courrouze;48.0965221738989, -1.69839938503331;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_SGE_1;Quai vers Viasilva <-> Salle des billets;15058;Saint-Germain;48.1106162622745, -1.67627275951495;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_JCA_3;Quai vers La Poterie <-> Salle des billets;15009;Jacques Cartier;48.0975427301243, -1.67545156363566;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_LGA_1;Quai vers Viasilva <-> Salle des billets;15054;Les Gayeulles;48.1293946374996, -1.65730026310517;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_SJG_2;Quai vers Gaîté <-> Salle des billets;15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_JFE_1;Quai vers Viasilva <-> Salle des billets;15056;Jules Ferry;48.1186594810628, -1.67076644276131;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_LGA_3;Salle des billets <-> Extérieur;15054;Les Gayeulles;48.1293946374996, -1.65730026310517;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_SJG_4;Salle des billets <-> Extérieur (sortie Bd Jean Mermoz);15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_JFE_2;Quai vers Gaîté <-> Salle des billets;15056;Jules Ferry;48.1186594810628, -1.67076644276131;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_PON_1;Quai vers Kennedy <-> Extérieur;15003;Pontchaillou;48.1215567733982, -1.69339989615415;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_STA_2;Quai vers La Poterie <-> Extérieur;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T05:01:40+02:00;1001;Ascenseur;ASC
ASC_JFE_3;Salle des billets <-> Extérieur;15056;Jules Ferry;48.1186594810628, -1.67076644276131;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_PON_2;Quai vers La Poterie <-> Extérieur;15003;Pontchaillou;48.1215567733982, -1.69339989615415;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_STAB_1;Quai vers Viasilva <-> Salle des billets;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_JFK_1;Quai vers Kennedy / La Poterie <-> Extérieur;15001;J.F. Kennedy;48.1212990676311, -1.71126078724885;Indisponible;2025-06-19T15:58:10+02:00;1001;Ascenseur;ASC
ASC_POT_1;Quai vers Kennedy <-> Extérieur (sortie parc-relais);15015;La Poterie;48.0874903545205, -1.6445729730928;En fonctionnement;2025-06-19T08:04:30+02:00;1001;Ascenseur;ASC
ASC_STAB_2;Quai vers Gaîté <-> Salle des billets;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_LCO_2;Quai vers Gaîté <-> Salle des billets (extérieur);15063;La Courrouze;48.0965221738989, -1.69839938503331;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
